Time (hr),Temperature (°c),Forecast (°c),Rain (mm),Rain (%),Cloud (%),Pressure (mb),Wind (km/h),Gust (km/h),Direction (deg),Moonrise (hr),Moonset (hr),Sunrise (hr),Sunset (hr),Weather,Date,Moonrise (min),Moonset (min),Sunrise (min),Sunset (min),Season
0,25,27,0.1,45.0,87.0,1013.0,18.0,27.0,225.3,04:31 AM,05:17 PM,06:39 AM,06:53 PM,Light rain shower,2024-08-31,271.0,1037.0,399,1133,wet
3,24,26,0.4,100.0,100.0,1012.0,19.0,28.0,225.1,04:31 AM,05:17 PM,06:39 AM,06:53 PM,Light rain shower,2024-08-31,271.0,1037.0,399,1133,wet
6,24,26,0.3,100.0,100.0,1013.0,18.0,27.0,230.1,04:31 AM,05:17 PM,06:39 AM,06:53 PM,Light rain shower,2024-08-31,271.0,1037.0,399,1133,wet
9,25,28,0.1,45.0,76.0,1014.0,21.0,28.0,226.8,04:31 AM,05:17 PM,06:39 AM,06:53 PM,Light rain shower,2024-08-31,271.0,1037.0,399,1133,wet
12,27,29,0.0,45.0,61.0,1014.0,21.0,27.0,229.2,04:31 AM,05:17 PM,06:39 AM,06:53 PM,Light rain shower,2024-08-31,271.0,1037.0,399,1133,wet
15,27,30,0.0,45.0,51.0,1011.0,23.0,29.0,220.8,04:31 AM,05:17 PM,06:39 AM,06:53 PM,Light rain shower,2024-08-31,271.0,1037.0,399,1133,wet
18,26,28,0.0,45.0,33.0,1012.0,21.0,29.0,225.4,04:31 AM,05:17 PM,06:39 AM,06:53 PM,Light rain shower,2024-08-31,271.0,1037.0,399,1133,wet
21,25,27,0.0,45.0,58.0,1014.0,17.0,25.0,231.9,04:31 AM,05:17 PM,06:39 AM,06:53 PM,Light rain shower,2024-08-31,271.0,1037.0,399,1133,wet
0,25,27,0.0,0.0,43.0,1014.0,13.0,20.0,229.6,03:39 AM,04:30 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-30,219.0,990.0,399,1134,wet
3,24,27,0.1,45.0,84.0,1013.0,13.0,20.0,235.9,03:39 AM,04:30 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-30,219.0,990.0,399,1134,wet
6,24,26,0.0,45.0,91.0,1013.0,14.0,21.0,240.4,03:39 AM,04:30 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-30,219.0,990.0,399,1134,wet
9,25,27,0.0,45.0,68.0,1015.0,14.0,20.0,235.4,03:39 AM,04:30 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-30,219.0,990.0,399,1134,wet
12,27,29,0.0,45.0,76.0,1014.0,20.0,25.0,233.9,03:39 AM,04:30 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-30,219.0,990.0,399,1134,wet
15,26,29,0.0,45.0,62.0,1012.0,24.0,31.0,227.6,03:39 AM,04:30 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-30,219.0,990.0,399,1134,wet
18,25,27,0.0,45.0,71.0,1013.0,22.0,31.0,225.3,03:39 AM,04:30 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-30,219.0,990.0,399,1134,wet
21,24,26,0.0,0.0,79.0,1014.0,20.0,29.0,224.0,03:39 AM,04:30 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-30,219.0,990.0,399,1134,wet
0,25,27,0.0,0.0,56.0,1015.0,15.0,23.0,226.0,02:42 AM,03:39 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-29,162.0,939.0,399,1134,wet
3,24,26,0.0,0.0,100.0,1014.0,14.0,22.0,235.8,02:42 AM,03:39 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-29,162.0,939.0,399,1134,wet
6,24,26,0.0,0.0,57.0,1014.0,14.0,21.0,251.9,02:42 AM,03:39 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-29,162.0,939.0,399,1134,wet
9,25,27,0.0,45.0,62.0,1016.0,14.0,19.0,251.2,02:42 AM,03:39 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-29,162.0,939.0,399,1134,wet
12,27,29,0.0,45.0,55.0,1015.0,17.0,23.0,230.8,02:42 AM,03:39 PM,06:39 AM,06:54 PM,Patchy rain possible,2024-08-29,162.0,939.0,399,1134,wet
